PassengerId,HomePlanet,Earth,Europa,Mars,CryoSleep,Cabin_deck,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_num,Cabin_side,Cabin_side_P,Cabin_side_S,Destination,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Total_spending,First_Name,Last_Name,First_Name_le,Last_Name_le,Transported
0001_01,Europa,False,True,False,False,B,False,True,False,False,False,False,False,False,0,P,True,False,TRAPPIST-1e,False,False,True,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Maham,Ofracculy,1614,1431,False
0002_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,0,S,False,True,TRAPPIST-1e,False,False,True,24.0,False,109.0,9.0,25.0,549.0,44.0,736.0,Juanna,Vines,1407,2109,True
0003_01,Europa,False,True,False,False,A,True,False,False,False,False,False,False,False,0,S,False,True,TRAPPIST-1e,False,False,True,58.0,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,Altark,Susent,156,1990,False
0003_02,Europa,False,True,False,False,A,True,False,False,False,False,False,False,False,0,S,False,True,TRAPPIST-1e,False,False,True,33.0,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,Solam,Susent,2276,1990,False
0004_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,1,S,False,True,TRAPPIST-1e,False,False,True,16.0,False,303.0,70.0,151.0,565.0,2.0,1091.0,Willy,Santantines,2642,1778,True
0005_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,0,P,True,False,PSO J318.5-22,False,True,False,44.0,False,0.0,483.0,0.0,291.0,0.0,774.0,Sandie,Hinetthews,2176,977,True
0006_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,2,S,False,True,TRAPPIST-1e,False,False,True,26.0,False,42.0,1539.0,3.0,0.0,0.0,1584.0,Billex,Jacostaffey,390,1080,True
0006_02,Earth,True,False,False,True,G,False,False,False,False,False,False,True,False,0,S,False,True,TRAPPIST-1e,False,False,True,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Candra,Jacostaffey,480,1080,True
0007_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,3,S,False,True,TRAPPIST-1e,False,False,True,35.0,False,0.0,785.0,17.0,216.0,0.0,1018.0,Andona,Beston,192,168,True
0008_01,Europa,False,True,False,True,B,False,True,False,False,False,False,False,False,1,P,True,False,55 Cancri e,True,False,False,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam,Flatic,922,719,True
0008_02,Europa,False,True,False,True,B,False,True,False,False,False,False,False,False,1,P,True,False,TRAPPIST-1e,False,False,True,34.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Altardr,Flatic,154,719,True
0008_03,Europa,False,True,False,False,B,False,True,False,False,False,False,False,False,1,P,True,False,55 Cancri e,True,False,False,45.0,False,39.0,7295.0,589.0,110.0,124.0,8157.0,Wezena,Flatic,2621,719,True
0009_01,Mars,False,False,True,False,F,False,False,False,False,False,True,False,False,1,P,True,False,TRAPPIST-1e,False,False,True,32.0,False,73.0,0.0,1123.0,0.0,113.0,1309.0,Berers,Barne,369,122,True
0010_01,Earth,True,False,False,False,G,False,False,False,False,False,False,True,False,1,S,False,True,TRAPPIST-1e,False,False,True,48.0,False,719.0,1.0,65.0,0.0,24.0,809.0,Reney,Baketton,2079,97,False
0011_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,2,P,True,False,TRAPPIST-1e,False,False,True,28.0,False,8.0,974.0,12.0,2.0,7.0,1003.0,Elle,Bertsontry,878,167,True
0012_01,Earth,True,False,False,False,G,False,False,False,False,False,False,True,False,734,S,False,True,TRAPPIST-1e,False,False,True,31.0,False,32.0,0.0,876.0,0.0,0.0,908.0,Justie,Pooles,1418,1573,False
0014_01,Mars,False,False,True,False,F,False,False,False,False,False,True,False,False,3,P,True,False,55 Cancri e,True,False,False,27.0,False,1286.0,122.0,0.0,0.0,0.0,1408.0,Flats,Eccle,972,636,False
0015_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,4,P,True,False,55 Cancri e,True,False,False,24.0,False,0.0,1.0,0.0,0.0,637.0,638.0,Carry,Hughriend,507,1027,False
0016_01,Mars,False,False,True,True,F,False,False,False,False,False,True,False,False,5,P,True,False,TRAPPIST-1e,False,False,True,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Alus,Upead,161,2088,True
0017_01,Earth,True,False,False,False,G,False,False,False,False,False,False,True,False,0,P,True,False,TRAPPIST-1e,False,False,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Lyde,Brighttt,1596,251,True
0017_02,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,6,P,True,False,55 Cancri e,True,False,False,14.0,False,412.0,0.0,1.0,0.0,679.0,1092.0,Philda,Brighttt,1952,251,False
